trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
183,False,"{'a': 0.19999999999999982, 'e': 0.02573251272635994}",20,12,12.953839120540872,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.19999999999999982, 'e': 0.025222974835227212}",25,17,17.704756487888993,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.19999999999999982, 'e': 0.024723526470339388}",20,11,16.981925065101045,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.19999999999999982, 'e': 0.024233967845691113}",25,15,16.65387695566132,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.19999999999999982, 'e': 0.023754103131304997}",25,2,39.41418422017806,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.19999999999999982, 'e': 0.023283740374897}",25,14,20.396314077641847,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.19999999999999982, 'e': 0.02282269142509297}",25,2,30.353571221406998,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.19999999999999982, 'e': 0.02237077185616559}",20,10,17.76012695746221,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.19999999999999982, 'e': 0.02192780089426161}",20,9,18.671650834193585,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.19999999999999982, 'e': 0.021493601345089923}",20,6,11.906376349321793,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
193,False,"{'a': 0.19999999999999982, 'e': 0.021067999523041434}",30,16,19.286742956271855,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.19999999999999982, 'e': 0.020650825181712566}",30,22,15.464176056140527,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.19999999999999982, 'e': 0.02024191144580439}",20,0,29.753494518250783,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
196,False,"{'a': 0.19999999999999982, 'e': 0.019841094744370288}",20,5,23.417461605202327,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.19999999999999982, 'e': 0.01944821474538539}",25,12,21.114437960880412,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.19999999999999982, 'e': 0.019063114291611637}",25,14,20.040504382000368,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.19999999999999982, 'e': 0.018685639337732773}",30,13,29.99059306111019,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.19999999999999982, 'e': 0.01831563888873418}",30,11,35.4888122575605,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.19999999999999982, 'e': 0.01795296493950285}",25,19,9.91627179988596,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.19999999999999982, 'e': 0.017597472415623393}",20,0,28.639479199219817,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
203,False,"{'a': 0.19999999999999982, 'e': 0.017249019115346265}",20,5,21.732013592801806,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.19999999999999982, 'e': 0.01690746565270528}",25,15,14.458851012322263,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.19999999999999982, 'e': 0.016572675401761255}",30,15,29.076329417687123,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.19999999999999982, 'e': 0.01624451444194987}",20,9,18.053747561837955,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.19999999999999982, 'e': 0.015922851504511698}",20,6,23.10482142681365,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.19999999999999982, 'e': 0.01560755791998283}",25,11,28.29913774549633,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.19999999999999982, 'e': 0.015298507566725518}",30,0,43.791581167811366,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
210,False,"{'a': 0.19999999999999982, 'e': 0.014995576820477703}",30,12,30.019156970222685,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.19999999999999982, 'e': 0.014698644504901784}",20,14,11.160816128711886,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.19999999999999982, 'e': 0.01440759184311235}",35,20,26.70238390595663,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.19999999999999982, 'e': 0.014122302410163962}",20,5,-17.105253777890916,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
214,False,"{'a': 0.19999999999999982, 'e': 0.013842662086479501}",25,2,35.31874018383367,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.19999999999999982, 'e': 0.013568559012200934}",20,10,22.710625873672516,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.19999999999999982, 'e': 0.013299883542443767}",30,10,33.66179769474167,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.19999999999999982, 'e': 0.013036528203437736}",20,5,23.400690675497273,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.19999999999999982, 'e': 0.01277838764953576}",25,14,21.046865722799822,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.19999999999999982, 'e': 0.012525358621074385}",25,0,42.817405302367504,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
220,False,"{'a': 0.19999999999999982, 'e': 0.012277339903068436}",25,14,23.402124087064955,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.19999999999999982, 'e': 0.012034232284723775}",20,1,29.399918912539345,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.19999999999999982, 'e': 0.011795938519751562}",35,15,34.34633691351989,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.19999999999999982, 'e': 0.011562363287468536}",30,13,28.944855227375427,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.19999999999999982, 'e': 0.011333413154667387}",20,12,16.41706855356577,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.19999999999999982, 'e': 0.011108996538242306}",20,7,-18.23094657279514,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
226,False,"{'a': 0.19999999999999982, 'e': 0.01088902366855444}",25,18,13.304542300701609,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.19999999999999982, 'e': 0.010673406553522925}",30,11,26.95301622200891,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.19999999999999982, 'e': 0.010462058943426795}",30,14,20.024653234911195,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.19999999999999982, 'e': 0.010254896296404022}",25,12,25.72703400715478,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.19999999999999982, 'e': 0.010051835744633576}",20,12,11.015248515250963,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.19999999999999982, 'e': 0.009852796061187257}",30,13,29.678223366121912,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,24,9.110039563326593,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,10,18.19976841639364,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,15,18.845345286657526,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,20,8.671076450527126,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,12,13.287327780856273,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,3,28.77770327308188,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,10,20.43187646046723,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,15,17.36901219013834,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,13,13.233212525734933,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,6,28.850550871800028,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
